,AAPL,AMZN,META,NFLX,GOOGL,MSFT,NVDA,TSLA,AMD,INTC,SPY,QQQ,^VIX
AAPL,0.0,0.0,0.09794316451011759,0.0,0.16193641598226957,0.33168821683935334,0.0,0.0,0.054740560631551215,0.07463464060712756,0.0,0.0,0.0
AMZN,0.0,0.0,0.2546979108897945,0.48476303641692964,0.045752780048095014,0.3561347646909663,0.0,0.11402673726268339,0.0,0.17055744893021182,0.0,0.0,0.0
META,0.4934729509982024,0.0,0.0,0.14777202413052046,0.2742793162712307,0.30134530732696024,0.0,0.07308845048306833,0.0,0.21264548835153654,0.22940783114786117,0.0,0.0
NFLX,0.0,0.0,0.43064891441824715,0.0,0.0,0.0,0.0,0.04222086154486031,0.0,0.020910642506414025,0.3961659087684866,0.0,0.0
GOOGL,0.22862823649139663,0.0,0.6443545727771299,0.0,0.0,0.0,0.0,0.0,0.17520619355717176,0.0,0.4600062476238668,0.0,0.0
MSFT,0.19938883804652585,0.0,0.6463926733728406,0.0,0.3129059688844334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,0.42173251777686366,0.0,0.4545732088545804,0.2966319810367636,0.0,0.0,0.0,0.0,5.915234270085845e-05,0.13170461908547546,0.0,0.0,0.0
TSLA,0.5174543330948672,0.0,0.41806589263489596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD,0.09034089608404954,0.0,0.19711153324916358,0.0,0.0,0.0,0.0,0.0,0.0,0.07872993207645582,0.3276854547726939,0.0,0.0
INTC,0.016422821851550234,0.0,0.23799750027603428,0.2694424796864005,0.0,0.017357773159318884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,0.0,0.0,0.2767131458705781,0.0,0.0,0.2805443862654084,0.24539741964681364,0.0,0.2096134045431039,0.0,0.0,0.0,0.04239753832294074
QQQ,0.08164978676462792,0.0,0.51058967520152,0.3060795064480128,0.27304871362818095,0.0,0.14772169839636234,0.0,0.16967487025963804,0.0,0.16685143715570755,0.0,0.0
^VIX,0.14206462614285137,0.0,0.2664978122280948,0.15065761724889312,0.0,0.0,0.0,0.0,0.04065564307670874,0.10643816057367238,0.19778101667180956,0.0,0.0
